Question,Participant,Response
Q10.1,1,D. Increasing mesh size in multiple types of fishing gear
Q10.2,1,https://www.conservationevidence.com/actions/2697
Q10.3_Click Count,1,5
Q10.3_First Click,1,1.265
Q10.3_Last Click,1,488.096
Q10.3_Page Submit,1,489.138
Q11.1,1,A. Reduced catch of non-commercial invertebrates
Q11.2,1,https://www.conservationevidence.com/actions/2131
Q11.3_Click Count,1,2
Q11.3_First Click,1,138.998
Q11.3_Last Click,1,139.757
Q11.3_Page Submit,1,153.826
Q12.1,1,B. Higher invertebrate abundance
Q12.2,1,https://www.conservationevidence.com/actions/2071
Q12.3_Click Count,1,3
Q12.3_First Click,1,28.645
Q12.3_Last Click,1,77.147
Q12.3_Page Submit,1,80.598
Q13.1,1,C. More than 90% survival rate
Q13.2,1,https://www.conservationevidence.com/actions/1818
Q13.3_Click Count,1,4
Q13.3_First Click,1,5845.254
Q13.3_Last Click,1,5859.694
Q13.3_Page Submit,1,5905.174
Q14.1,1,B. Use chemical treatments without fallowing
Q14.2,1,https://www.conservationevidence.com/actions/738
Q14.3_Click Count,1,3
Q14.3_First Click,1,197.847
Q14.3_Last Click,1,220.071
Q14.3_Page Submit,1,241.664
Q15.1,1,A. Monitoring parasitism rates to inform spraying decisions
Q15.2,1,https://www.conservationevidence.com/actions/726
Q15.3_Click Count,1,3
Q15.3_First Click,1,104.766
Q15.3_Last Click,1,827.029
Q15.3_Page Submit,1,828.623
Q16.1,1,B. Older plots have more birds and bird species
Q16.2,1,https://www.conservationevidence.com/actions/360
Q16.3_Click Count,1,
Q16.3_First Click,1,
Q16.3_Last Click,1,
Q16.3_Page Submit,1,
Q17.1,1,B. It may reduce water runoff and increase water storage
Q17.2,1,https://www.conservationevidence.com/actions/907
Q17.3_Click Count,1,2
Q17.3_First Click,1,96.712
Q17.3_Last Click,1,102.053
Q17.3_Page Submit,1,103.61
Q18.1,1,B. Its effectiveness may vary depending on the species and local conditions
Q18.2,1,https://www.conservationevidence.com/actions/1519
Q18.3_Click Count,1,3
Q18.3_First Click,1,1.85
Q18.3_Last Click,1,66.583
Q18.3_Page Submit,1,75.206
Q19.1,1,"A. Mixed effects on density and height, with reduced survival"
Q19.2,1,https://www.conservationevidence.com/actions/3352
Q19.3_Click Count,1,
Q19.3_First Click,1,
Q19.3_Last Click,1,
Q19.3_Page Submit,1,
Q20.1,1,A. Stopping spraying and mowing increases northern pearl crescent abundance
Q20.2,1,https://www.conservationevidence.com/actions/3855
Q20.3_Click Count,1,2
Q20.3_First Click,1,359.512
Q20.3_Last Click,1,396.694
Q20.3_Page Submit,1,427.161
Q21.1,1,B. Flower patches may not increase bee populations in the wider landscape
Q21.2,1,https://www.conservationevidence.com/actions/17
Q21.3_Click Count,1,2
Q21.3_First Click,1,185.065
Q21.3_Last Click,1,187.021
Q21.3_Page Submit,1,208.19
Q22.1,1,D. The impacts of group-selection harvesting vary depending on specific forest characteristics and study locations
Q22.2,1,https://www.conservationevidence.com/actions/1224
Q22.3_Click Count,1,3
Q22.3_First Click,1,6.657
Q22.3_Last Click,1,65.804
Q22.3_Page Submit,1,97.715
Q23.1,1,A. Higher concentrations and higher temperatures
Q23.2,1,https://www.conservationevidence.com/actions/1118
Q23.3_Click Count,1,2
Q23.3_First Click,1,136.644
