Method,Question,Correct
Dense,Which of the following outcomes is most likely to occur within one year of planting Sphagnum-dominated sods in a rewetted bog?,1
Dense,Which of the following outcomes is most likely when using a moving trailer suction hopper dredger for aggregate extraction compared to a static suction hopper dredger?,1
Dense,Which of the following outcomes is most likely to result from fitting a sievenet to shrimp/prawn trawl nets?,1
Dense,"In a marine ecosystem with declining populations of both commercial and non-commercial fish species, which combination of fishing gear modifications would likely be most effective in promoting sustainable fishing practices?",0
Dense,Which of the following outcomes is most likely when raising water levels to restore brackish/salt marshes from other land uses?,1
Dense,A conservation manager aims to increase bee species richness in an area with power line infrastructure. Which of the following strategies should they prioritize?,1
Dense,Which of the following outcomes is most likely to result from sowing grassland seeds from a local source compared to using a commercial seed mix?,1
Dense,Which of the following outcomes is most likely to result from creating natural rocky reef topography on intertidal artificial structures?,0
Dense,Which of the following outcomes is most likely to occur when small swimthrough habitats are created on intertidal artificial structures?,1
Dense,Which of the following strategies is most likely to be effective in conserving Agassiz's desert tortoise populations?,0
Dense,Which of the following is the most likely long-term ecological benefit of planting riparian buffer strips for reptile conservation?,1
Dense,"In the context of butterfly conservation on transmission lines, what is the relationship between herbicide spraying, mowing, and northern pearl crescent abundance?",0
Dense,What is the most likely long-term impact of implementing wild bird cover on farmland plant communities?,1
Dense,Which of the following factors is most likely to enhance the effectiveness of conservation headlands for plant diversity?,1
Dense,A tomato farmer wants to implement an integrated pest management approach that minimizes unnecessary insecticide use. Which of the following strategies would be most aligned with the conservation action described?,0
Dense,Which of the following best describes the effectiveness of cleaner wrasse as a natural control agent for sea lice in salmon aquaculture?,1
Dense,How might retaining crop residues impact water management in agricultural systems?,1
Dense,Which of the following outcomes is LEAST likely to result from implementing integrated aquaculture systems with fish farms?,1
Dense,Which of the following strategies would be most effective for increasing bat activity in logged areas?,1
Dense,Which of the following approaches is most likely to enhance the effectiveness of an electrical barrier in preventing the migration of invasive round gobies?,1
Dense,Which of the following best describes the overall effectiveness of legal protection for primate species under threat?,1
Dense,Which of the following modifications to outdoor lighting is most likely to reduce its impact on nocturnal insects?,1
Dense,"A salmon farm manager wants to implement the most effective strategy to control sea lice infestations. Based on the provided information, which of the following approaches should they prioritize?",0
Dense,Which of the following outcomes is most likely to result from combining increased livestock grazing with prescribed burning in shrubland ecosystems?,1
Dense,Which of the following is most likely to be a direct result of reducing livestock grazing intensity in forests?,1
Dense,"In the context of group-selection harvesting, which of the following statements best reflects the complexity of its ecological impacts?",1
Dense,Which of the following outcomes is most likely to result from presenting food in water for captive primates?,1
Dense,How does the age of restored riparian plots generally affect bird populations?,1
Dense,How might the effectiveness of primate habituation to human presence vary across different geographical regions and species?,1
Dense,Which of the following outcomes is most likely to occur when reducing or stopping grazing in shrubland ecosystems?,1
Dense,Which of the following outcomes is most likely to occur after diverting or replacing polluted water sources in peatlands?,1
Dense,What is a potential challenge when implementing water source diversion as a conservation action in peatlands?,1
Dense,Which of the following strategies is most likely to enhance the reproductive success of native bee species in agricultural landscapes?,0
Dense,"In the context of enhancing wild bee populations in agricultural landscapes, what potential limitation should be considered when implementing flower planting strategies?",1
Dense,Which of the following outcomes is most likely to occur as a result of rescuing and releasing stranded marine mammals?,1
Dense,"In the context of brackish/saline wetland restoration, what is the most likely outcome of applying a non-fungal root dip to smooth cordgrass (Spartina alterniflora) before planting?",1
Dense,What is the most likely effect of adding carbon to soil after sowing seeds on the density of sown forb species in grassland restoration projects?,1
Dense,Which of the following outcomes is most likely to result from creating groove habitats on subtidal artificial structures?,0
Dense,What factors can increase the efficiency of chemical treatments in controlling Asian clam populations?,1
Dense,What is a potential trade-off to consider when modifying longline configuration from wire to nylon hook attachments?,1
Dense,Which of the following statements best reflects the current understanding of traditional orchard maintenance as a conservation strategy for birds?,1
