Question,Source No.,Retrieved No.,Method,Source Synopsis
Which of the following outcomes is most consistently observed across various primate reintroduction/translocation efforts that include pre-release veterinary screening?,1553,1553,Dense,Primate Conservation
Which of the following outcomes is most consistently observed across various primate reintroduction/translocation efforts that include pre-release veterinary screening?,1553,1422,Dense,Primate Conservation
Which of the following outcomes is most likely to result from cutting trees and using prescribed burning in a shrubland ecosystem?,1637,1637,Dense,Shrubland and Heathland Conservation
Which of the following outcomes is most likely to result from cutting trees and using prescribed burning in a shrubland ecosystem?,1637,1721,Dense,Shrubland and Heathland Conservation
"In a shrubland ecosystem dominated by invasive woody species, what conservation action would likely be most effective in promoting herbaceous plant growth while minimizing impact on native shrubs?",1637,1228,Dense,Shrubland and Heathland Conservation
"In a shrubland ecosystem dominated by invasive woody species, what conservation action would likely be most effective in promoting herbaceous plant growth while minimizing impact on native shrubs?",1637,1632,Dense,Shrubland and Heathland Conservation
How might the effects of cutting trees and prescribed burning on vegetation differ between temperate and tropical shrubland ecosystems?,1637,1637,Dense,Shrubland and Heathland Conservation
How might the effects of cutting trees and prescribed burning on vegetation differ between temperate and tropical shrubland ecosystems?,1637,3116,Dense,Shrubland and Heathland Conservation
Which of the following outcomes is most likely to occur when applying herbicide and sowing seeds of shrubland plants to control grass?,1644,1644,Dense,Shrubland and Heathland Conservation
Which of the following outcomes is most likely to occur when applying herbicide and sowing seeds of shrubland plants to control grass?,1644,1645,Dense,Shrubland and Heathland Conservation
Which of the following outcomes is most likely to occur within the first decade after implementing the moss layer transfer technique in a degraded bog?,1804,1804,Dense,Peatland Conservation
Which of the following outcomes is most likely to occur within the first decade after implementing the moss layer transfer technique in a degraded bog?,1804,1818,Dense,Peatland Conservation
"A conservation manager wants to increase bryophyte cover, including Sphagnum, in a degraded bog. Which of the following actions is most likely to achieve this goal?",1804,1818,Dense,Peatland Conservation
"A conservation manager wants to increase bryophyte cover, including Sphagnum, in a degraded bog. Which of the following actions is most likely to achieve this goal?",1804,1829,Dense,Peatland Conservation
Which of the following outcomes is most likely to result from creating artificial caves or hibernacula for bats?,2049,2049,Dense,Bat Conservation
Which of the following outcomes is most likely to result from creating artificial caves or hibernacula for bats?,2049,2047,Dense,Bat Conservation
Which of the following outcomes is most likely to occur if shipping is ceased in a marine area?,2086,2086,Dense,Subtidal Benthic Invertebrate Conservation
Which of the following outcomes is most likely to occur if shipping is ceased in a marine area?,2086,2668,Dense,Subtidal Benthic Invertebrate Conservation
How might the effects of ceasing towed fishing gear on subtidal benthic invertebrate communities differ between a shallow coastal lagoon and a deep offshore bank?,2102,2102,Dense,Subtidal Benthic Invertebrate Conservation
How might the effects of ceasing towed fishing gear on subtidal benthic invertebrate communities differ between a shallow coastal lagoon and a deep offshore bank?,2102,2229,Dense,Subtidal Benthic Invertebrate Conservation
"Which of the following outcomes is most likely to result from maintaining species-rich, semi-natural grassland?",218,702,Dense,Bird Conservation
"Which of the following outcomes is most likely to result from maintaining species-rich, semi-natural grassland?",218,905,Dense,Bird Conservation
"In the context of bird conservation, what potential trade-off should be considered when implementing management practices to maintain species-rich, semi-natural grassland?",218,218,Dense,Bird Conservation
"In the context of bird conservation, what potential trade-off should be considered when implementing management practices to maintain species-rich, semi-natural grassland?",218,339,Dense,Bird Conservation
"To increase the abundance of bird species of conservation concern in semi-natural grasslands, which management approach would likely be most effective?",218,218,Dense,Bird Conservation
"To increase the abundance of bird species of conservation concern in semi-natural grasslands, which management approach would likely be most effective?",218,219,Dense,Bird Conservation
Which of the following strategies would be most effective in promoting the recovery of dogwhelk populations affected by tributyltin exposure?,2214,2214,Dense,Subtidal Benthic Invertebrate Conservation
Which of the following strategies would be most effective in promoting the recovery of dogwhelk populations affected by tributyltin exposure?,2214,1689,Dense,Subtidal Benthic Invertebrate Conservation
How might the effectiveness of tributyltin restrictions vary in different marine environments?,2214,2214,Dense,Subtidal Benthic Invertebrate Conservation
How might the effectiveness of tributyltin restrictions vary in different marine environments?,2214,2225,Dense,Subtidal Benthic Invertebrate Conservation
Which of the following conservation strategies would likely be most effective in promoting the recovery of subtidal benthic invertebrate populations in heavily fished areas?,2233,2239,Dense,Subtidal Benthic Invertebrate Conservation
Which of the following conservation strategies would likely be most effective in promoting the recovery of subtidal benthic invertebrate populations in heavily fished areas?,2233,2118,Dense,Subtidal Benthic Invertebrate Conservation
"In designing a Marine Protected Area that allows hook and line fishing, which factor should be prioritized to maximize its effectiveness for subtidal benthic invertebrate conservation?",2233,2239,Dense,Subtidal Benthic Invertebrate Conservation
"In designing a Marine Protected Area that allows hook and line fishing, which factor should be prioritized to maximize its effectiveness for subtidal benthic invertebrate conservation?",2233,2233,Dense,Subtidal Benthic Invertebrate Conservation
Which of the following strategies would be most effective for increasing small mammal abundance in agricultural landscapes?,2383,2365,Dense,Terrestrial Mammal Conservation
Which of the following strategies would be most effective for increasing small mammal abundance in agricultural landscapes?,2383,2359,Dense,Terrestrial Mammal Conservation
Which of the following factors is most likely to contribute to the success of ungulate translocations?,2397,2397,Dense,Terrestrial Mammal Conservation
Which of the following factors is most likely to contribute to the success of ungulate translocations?,2397,2553,Dense,Terrestrial Mammal Conservation
What is the most effective approach to increase survival rates of translocated European rabbits?,2434,2397,Dense,Terrestrial Mammal Conservation
What is the most effective approach to increase survival rates of translocated European rabbits?,2434,2453,Dense,Terrestrial Mammal Conservation
