Model,Category,Synopsis,Correct,Total,Proportion_Correct
claude_sonnet,closed_book,Amphibian Conservation,69,91,0.758241758
claude_sonnet,closed_book,Bat Conservation,32,46,0.695652174
claude_sonnet,closed_book,Bee Conservation,28,38,0.736842105
claude_sonnet,closed_book,Biodiversity of Marine Artificial Structures,29,35,0.828571429
claude_sonnet,closed_book,Bird Conservation,191,321,0.595015576
claude_sonnet,closed_book,Butterfly and Moth Conservation,80,115,0.695652174
claude_sonnet,closed_book,Control of Freshwater Invasive Species,35,50,0.7
claude_sonnet,closed_book,Farmland Conservation,53,73,0.726027397
claude_sonnet,closed_book,Forest Conservation,30,50,0.6
claude_sonnet,closed_book,Grassland Conservation,18,30,0.6
claude_sonnet,closed_book,Management of Captive Animals,22,34,0.647058824
claude_sonnet,closed_book,Marine Fish Conservation,50,71,0.704225352
claude_sonnet,closed_book,Marine and Freshwater Mammal Conservation,32,39,0.820512821
claude_sonnet,closed_book,Marsh and Swamp Conservation,105,181,0.580110497
claude_sonnet,closed_book,Mediterranean Farmland,41,57,0.719298246
claude_sonnet,closed_book,Natural Pest Control,13,15,0.866666667
claude_sonnet,closed_book,Peatland Conservation,35,62,0.564516129
claude_sonnet,closed_book,Primate Conservation,41,57,0.719298246
claude_sonnet,closed_book,Reptile Conservation,93,155,0.6
claude_sonnet,closed_book,Shrubland and Heathland Conservation,24,43,0.558139535
claude_sonnet,closed_book,Soil Fertility,12,19,0.631578947
claude_sonnet,closed_book,Subtidal Benthic Invertebrate Conservation,53,79,0.670886076
claude_sonnet,closed_book,Sustainable Aquaculture,10,18,0.555555556
claude_sonnet,closed_book,Terrestrial Mammal Conservation,125,188,0.664893617
claude_sonnet,confused,Amphibian Conservation,83,91,0.912087912
claude_sonnet,confused,Bat Conservation,43,46,0.934782609
claude_sonnet,confused,Bee Conservation,37,38,0.973684211
claude_sonnet,confused,Biodiversity of Marine Artificial Structures,34,35,0.971428571
claude_sonnet,confused,Bird Conservation,282,321,0.878504673
claude_sonnet,confused,Butterfly and Moth Conservation,103,115,0.895652174
claude_sonnet,confused,Control of Freshwater Invasive Species,47,50,0.94
claude_sonnet,confused,Farmland Conservation,69,73,0.94520548
claude_sonnet,confused,Forest Conservation,46,50,0.92
claude_sonnet,confused,Grassland Conservation,28,30,0.933333333
claude_sonnet,confused,Management of Captive Animals,32,34,0.941176471
claude_sonnet,confused,Marine Fish Conservation,63,71,0.887323944
claude_sonnet,confused,Marine and Freshwater Mammal Conservation,34,39,0.871794872
claude_sonnet,confused,Marsh and Swamp Conservation,171,181,0.944751381
claude_sonnet,confused,Mediterranean Farmland,55,57,0.964912281
claude_sonnet,confused,Natural Pest Control,15,15,1
claude_sonnet,confused,Peatland Conservation,58,62,0.935483871
claude_sonnet,confused,Primate Conservation,48,57,0.842105263
claude_sonnet,confused,Reptile Conservation,139,155,0.896774194
claude_sonnet,confused,Shrubland and Heathland Conservation,40,43,0.930232558
claude_sonnet,confused,Soil Fertility,18,19,0.947368421
claude_sonnet,confused,Subtidal Benthic Invertebrate Conservation,73,79,0.924050633
claude_sonnet,confused,Sustainable Aquaculture,18,18,1
claude_sonnet,confused,Terrestrial Mammal Conservation,170,188,0.904255319
claude_sonnet,dense_retrieval,Amphibian Conservation,82,91,0.901098901
claude_sonnet,dense_retrieval,Bat Conservation,39,46,0.847826087
claude_sonnet,dense_retrieval,Bee Conservation,34,38,0.894736842
claude_sonnet,dense_retrieval,Biodiversity of Marine Artificial Structures,29,35,0.828571429
claude_sonnet,dense_retrieval,Bird Conservation,271,321,0.84423676
claude_sonnet,dense_retrieval,Butterfly and Moth Conservation,78,115,0.67826087
claude_sonnet,dense_retrieval,Control of Freshwater Invasive Species,44,50,0.88
claude_sonnet,dense_retrieval,Farmland Conservation,58,73,0.794520548
claude_sonnet,dense_retrieval,Forest Conservation,42,50,0.84
claude_sonnet,dense_retrieval,Grassland Conservation,23,30,0.766666667
claude_sonnet,dense_retrieval,Management of Captive Animals,29,34,0.852941177
claude_sonnet,dense_retrieval,Marine Fish Conservation,51,71,0.718309859
claude_sonnet,dense_retrieval,Marine and Freshwater Mammal Conservation,34,39,0.871794872
claude_sonnet,dense_retrieval,Marsh and Swamp Conservation,151,181,0.834254144
claude_sonnet,dense_retrieval,Mediterranean Farmland,43,57,0.754385965
claude_sonnet,dense_retrieval,Natural Pest Control,13,15,0.866666667
claude_sonnet,dense_retrieval,Peatland Conservation,48,62,0.774193548
claude_sonnet,dense_retrieval,Primate Conservation,44,57,0.771929825
claude_sonnet,dense_retrieval,Reptile Conservation,106,155,0.683870968
claude_sonnet,dense_retrieval,Shrubland and Heathland Conservation,34,43,0.790697674
claude_sonnet,dense_retrieval,Soil Fertility,16,19,0.842105263
claude_sonnet,dense_retrieval,Subtidal Benthic Invertebrate Conservation,70,79,0.886075949
claude_sonnet,dense_retrieval,Sustainable Aquaculture,17,18,0.944444444
claude_sonnet,dense_retrieval,Terrestrial Mammal Conservation,150,188,0.79787234
claude_sonnet,hybrid_retrieval,Amphibian Conservation,83,91,0.912087912
claude_sonnet,hybrid_retrieval,Bat Conservation,40,46,0.869565217
claude_sonnet,hybrid_retrieval,Bee Conservation,36,38,0.947368421
claude_sonnet,hybrid_retrieval,Biodiversity of Marine Artificial Structures,31,35,0.885714286
claude_sonnet,hybrid_retrieval,Bird Conservation,263,321,0.819314642
claude_sonnet,hybrid_retrieval,Butterfly and Moth Conservation,94,115,0.817391304
claude_sonnet,hybrid_retrieval,Control of Freshwater Invasive Species,41,50,0.82
claude_sonnet,hybrid_retrieval,Farmland Conservation,66,73,0.904109589
claude_sonnet,hybrid_retrieval,Forest Conservation,44,50,0.88
claude_sonnet,hybrid_retrieval,Grassland Conservation,23,30,0.766666667
claude_sonnet,hybrid_retrieval,Management of Captive Animals,29,34,0.852941177
claude_sonnet,hybrid_retrieval,Marine Fish Conservation,55,71,0.774647887
claude_sonnet,hybrid_retrieval,Marine and Freshwater Mammal Conservation,33,39,0.846153846
claude_sonnet,hybrid_retrieval,Marsh and Swamp Conservation,155,181,0.856353591
claude_sonnet,hybrid_retrieval,Mediterranean Farmland,47,57,0.824561404
claude_sonnet,hybrid_retrieval,Natural Pest Control,12,15,0.8
claude_sonnet,hybrid_retrieval,Peatland Conservation,53,62,0.85483871
claude_sonnet,hybrid_retrieval,Primate Conservation,45,57,0.789473684
claude_sonnet,hybrid_retrieval,Reptile Conservation,122,155,0.787096774
claude_sonnet,hybrid_retrieval,Shrubland and Heathland Conservation,36,43,0.837209302
claude_sonnet,hybrid_retrieval,Soil Fertility,17,19,0.894736842
claude_sonnet,hybrid_retrieval,Subtidal Benthic Invertebrate Conservation,68,79,0.860759494
claude_sonnet,hybrid_retrieval,Sustainable Aquaculture,17,18,0.944444444
claude_sonnet,hybrid_retrieval,Terrestrial Mammal Conservation,156,188,0.829787234
claude_sonnet,oracle,Amphibian Conservation,85,91,0.934065934
claude_sonnet,oracle,Bat Conservation,43,46,0.934782609
claude_sonnet,oracle,Bee Conservation,37,38,0.973684211
claude_sonnet,oracle,Biodiversity of Marine Artificial Structures,34,35,0.971428571
claude_sonnet,oracle,Bird Conservation,290,321,0.903426791
claude_sonnet,oracle,Butterfly and Moth Conservation,105,115,0.913043478
claude_sonnet,oracle,Control of Freshwater Invasive Species,49,50,0.98
claude_sonnet,oracle,Farmland Conservation,71,73,0.97260274
claude_sonnet,oracle,Forest Conservation,45,50,0.9
claude_sonnet,oracle,Grassland Conservation,29,30,0.966666667
claude_sonnet,oracle,Management of Captive Animals,33,34,0.970588235
claude_sonnet,oracle,Marine Fish Conservation,65,71,0.915492958
claude_sonnet,oracle,Marine and Freshwater Mammal Conservation,34,39,0.871794872
claude_sonnet,oracle,Marsh and Swamp Conservation,172,181,0.950276243
claude_sonnet,oracle,Mediterranean Farmland,55,57,0.964912281
claude_sonnet,oracle,Natural Pest Control,15,15,1
claude_sonnet,oracle,Peatland Conservation,59,62,0.951612903
claude_sonnet,oracle,Primate Conservation,51,57,0.894736842
claude_sonnet,oracle,Reptile Conservation,142,155,0.916129032
claude_sonnet,oracle,Shrubland and Heathland Conservation,42,43,0.976744186
claude_sonnet,oracle,Soil Fertility,19,19,1
claude_sonnet,oracle,Subtidal Benthic Invertebrate Conservation,74,79,0.936708861
claude_sonnet,oracle,Sustainable Aquaculture,18,18,1
claude_sonnet,oracle,Terrestrial Mammal Conservation,177,188,0.941489362
claude_sonnet,sparse_retrieval,Amphibian Conservation,77,91,0.846153846
claude_sonnet,sparse_retrieval,Bat Conservation,39,46,0.847826087
claude_sonnet,sparse_retrieval,Bee Conservation,34,38,0.894736842
claude_sonnet,sparse_retrieval,Biodiversity of Marine Artificial Structures,29,35,0.828571429
claude_sonnet,sparse_retrieval,Bird Conservation,229,321,0.713395639
claude_sonnet,sparse_retrieval,Butterfly and Moth Conservation,90,115,0.782608696
claude_sonnet,sparse_retrieval,Control of Freshwater Invasive Species,38,50,0.76
claude_sonnet,sparse_retrieval,Farmland Conservation,64,73,0.876712329
claude_sonnet,sparse_retrieval,Forest Conservation,41,50,0.82
claude_sonnet,sparse_retrieval,Grassland Conservation,25,30,0.833333333
claude_sonnet,sparse_retrieval,Management of Captive Animals,24,34,0.705882353
